anger_index,sarcasm_irony_index,class
0.6237188713293332,0.8,2
0.43138477700035,0.8,1
0.5909534088829826,0.75,1
0.3886476670971029,0.2,1
0.479592807258602,0.9,1
0.6027838453697848,0.8,1
0.6687209871901495,0.45,1
0.5927692907024074,0.8,1
0.5296351281872654,0.5,1
0.4180388920609197,0.8,1
0.587180916195971,0.6,1
0.5256574960701826,0.9,1
0.4574031947572753,0.9,1
0.4940570735111935,0.8,1
0.6426996217465706,0.8,1
0.5231503000160812,0.8,1
0.5408795316972622,0.8,1
0.5479496890754071,0.7,1
0.5244083317297464,0.5,1
0.5819511605145126,0.75,1
0.6858056697543514,0.8,1
0.5357148011366126,0.9,1
0.4316708865328252,0.75,1
0.8224086383980357,0.9,1
0.5237146550496384,0.7,1
0.3854648681624092,0.8,1
0.4083413259885898,0.8,1
0.464467862882027,0.8,1
0.7120804273490977,0.3,1
0.5844411028577056,0.5,1
0.6983404089558997,0.5,1
0.6206461622304799,0.8,1
0.539015049796466,0.8,1
0.4804152839968953,0.9,1
0.7336841508173222,0.5,1
0.4626843656982505,0.8,1
0.5980121926819468,0.8,1
0.4460169275296424,0.9,1
0.5839762451221069,0.8,1
0.3783584034386341,0.75,1
0.5265474463390302,0.7,2
0.3447307119402829,0.3,1
0.4839739653360596,0.75,1
0.3442946898339782,0.8,1
0.5150411890240781,0.9,1
0.5162885398216339,0.85,1
0.4635659824896324,0.7,1
0.512935391771643,0.8,1
0.6403864202088597,0.75,1
0.5325179755388724,0.8,1
0.6516564282416026,0.4,1
0.4853979471773063,0.9,1
0.4773373195383728,0.85,1
0.5225901194480161,0.5,1
0.431896417294623,0.9,1
0.4936742324256037,0.0,1
0.5633914842253196,0.8,1
0.3938837021636038,0.75,1
0.5208100566440813,0.9,1
0.6608442868390535,0.2,1
0.5889103193334558,0.75,1
0.5993046269041791,0.8,1
0.5181530801984177,0.8,1
0.460196654376941,0.7,2
0.4882442381948222,0.95,1
0.583052751388293,0.8,1
0.3720879022379146,0.8,2
0.464885732797571,0.7,2
0.6648600189296282,0.3,1
0.6962352277544345,0.7,1
0.3727027635936385,0.8,2
0.5354930034396196,0.9,1
0.5467586603390233,0.8,1
0.4652382116584282,0.2,1
0.6330388567341166,0.8,1
0.4042636324465125,0.0,2
0.5217527570213134,0.9,1
0.5375405878390406,0.9,1
0.5308102978179383,0.9,1
0.5512115578397263,0.3,1
0.5366165619904154,0.5,1
0.667276897322635,0.2,1
0.5492108350891843,0.99,1
0.4401175294788727,0.3,1
0.6057162808253954,0.95,1
0.4387440358512662,0.75,0
0.4536242677015808,0.8,1
0.548525898271472,0.2,1
0.500771940754417,0.9,1
0.4951373517083305,0.7,0
0.3286411556079596,0.9,1
0.6465328959829806,0.875,1
0.5817053354411538,0.2,1
0.5846104507442609,0.8,1
0.5173629961282173,0.7,1
0.522770419715294,0.9,1
0.7508295531304864,0.7,1
0.4396513153429897,0.75,1
0.3620791901533972,0.85,1
0.4739800461587493,0.75,1
0.5051555509871382,0.7,1
0.5149562001059783,0.8,1
0.6408782384178593,0.7,1
0.528044584292317,0.9,1
0.3183192807852515,0.75,1
0.4318856970670909,0.4,1
0.475806087279272,0.25,1
0.488429866288801,0.0,1
0.6515510540344059,0.7,1
0.4513803730623644,0.5,1
0.5124092596853594,0.7,0
0.6275966724426344,0.7,1
0.5356018076260196,0.6,1
0.5328841541477921,0.1,1
0.4939592512976756,0.8,1
0.41287578844019,0.5,2
0.801380665600668,0.9,1
0.5456644607976742,0.8,1
0.525061592794401,0.9,2
0.5241863541146559,0.5,2
0.5584725496113264,0.9,2
0.4763042504884042,0.1,1
0.4789393923206868,0.2,2
0.4847308963829595,0.8,1
0.4734255402169667,0.75,2
0.6558729614938212,0.8,1
0.3250570879048886,0.7,1
0.5448860680866766,0.2,1
0.5925074681671284,0.9,1
0.4752135321163434,0.9,1
0.4784741159152548,0.8,1
0.4093902708220591,0.8,1
0.806427065476247,0.9,1
0.4642950836273061,0.95,1
0.4434725995683443,0.7,1
0.6005305339923789,0.8,1
0.6598342542625106,0.4,1
0.6048694847514734,0.8,1
0.5381074030612006,0.75,1
0.6154263821459613,0.1,1
0.5041052919042653,0.9,2
0.4409642756592677,0.85,1
0.4251317830811143,0.8,1
0.6807056451218095,0.2,1
0.5784754228225784,0.8,1
0.6240642663146,0.85,1
0.6478798056151845,0.25,1
0.4632125849930631,0.6,1
0.4485908135505958,0.9,1
0.4863473994180843,0.8,2
0.6126526479015569,0.7,1
0.5312822455162908,0.9,1
0.5571381531257773,0.8,1
0.6872453591535447,1.0,1
0.475550366051541,0.8,1
0.5693774815528931,0.9,1
0.6621159822070123,0.8,1
0.6704443817511524,0.7,1
0.7409444495777279,0.95,2
0.4814050937494238,0.7,1
0.4634696507241168,0.8,1
0.5963307979747158,0.8,1
0.4874709064483773,0.8,1
0.5295302282233999,0.8,1
0.448679760357921,0.3,2
0.5099462791814737,0.9,1
0.3824105170766538,0.9,1
